tweet,,,,,,,
"प्रधानमंत्री फसल बीमा योजना किसानों को आपदा से हुए नुकसान से राहत दिलाने वाली योजना है। इसके अंतर्गत न्यूनतम प्रीमियम देकर, किसान बुआई से कटाई तक प्राकृतिक आपदाओं से हुए नुकसान का उचित भुगतान पा सकता है। 
और जानिए:  http://www.pmfby.gov.in 
09-08-2020,PMFBY के अंतर्गत केंद्र व राज्य सरकारों ने किसानों के लिए न्यूनतम प्रीमियम का प्रावधान किया है। खरीफ फसलों के लिए 2 प्रतिशत", रबी के लिए 1.5 प्रतिशत तथा हार्टीकल्चर फसलों के लिए यह, बीमा राशि का 5 प्रतिशत है। ,,,,,
"PMFBY के अंतर्गत केंद्र व राज्य सरकारों ने किसानों के लिए न्यूनतम प्रीमियम का प्रावधान किया है। खरीफ फसलों के लिए 2 प्रतिशत, रबी के लिए 1.5 प्रतिशत तथा हार्टीकल्चर फसलों के लिए यह, बीमा राशि का 5 प्रतिशत है। 
और जानिए:  http://www.pmfby.gov.in 
09-08-2020,PMFBY के अंतर्गत केंद्र व राज्य सरकारों ने किसानों के लिए न्यूनतम प्रीमियम का प्रावधान किया है। खरीफ फसलों के लिए 2 प्रतिशत", रबी के लिए 1.5 प्रतिशत तथा हार्टीकल्चर फसलों के लिए यह, बीमा राशि का 5 प्रतिशत है। ,,,,,
This is my building in Andheri West named Jesal apartment  http://pvt.ltd   and water has been logged since more than 4 days. I request #MyBMCHelplines #mybmc @mybmc @mybmcwardKW #myb to look into this concern. pic.twitter.com/B1ecbNrMrX,,,,,,,
"#mybmc 
Why do we citizen have to bring this to your notice ? don't you have people employed to check his out ....n restore ? pls fix this lid n keep us all posted about your action at the earliest any loss to life or property will be viewed seriously  https://twitter.com/GRVora/status/1291811963614289922 …",,,,,,,
Whilst applauding her we also need to really really action the (ir)responsible ward officer or whoever is in charge of ensuring there are NO open manholes! #MumbaiRains #mybmc,,,,,,,
Do you know that #BJP and #SS together run #mybmc  https://twitter.com/DrNandiniBJP/status/1291686412010401794 …,,,,,,,
"Yesterday, the old peepal tree fell in front of my shop, due to which the board and roof of my shop was broken, the roof and outside board of mine and my side 3 shop fell, and we were damaged.#mybmc
07-08-2020,It's high time @mybmc starts investing tax payer's hard earned money in long term projects like water recycling"," garbage recycling on a large scale...heavy rains yet we will have water/ power cuts!! #bmc #mybmc #MumbaiRains @AUThackeray @BJP4India #Mumbai #Maharashtra @PMOIndia""",,,,,,
"#mybmc Chor saale....
Why u quarantine IPS Vinay Tiwari",,,,,,,
"#Mumbai में सब चोरो की गवर्नमेंट चल रहीं मुझे ये समझ नहीं आ रहा #mybmc #MumbaiPolice #CPMumbaiPolice और  #RheaChakraborthy के वकील ये सब किसको बचाने में लगे है।
खैर हमे सीबीआई पर पूरा भरोसा है वो सारा सच जनता के सामने लाएगी। https://twitter.com/anuraagmuskaan/status/1291629261279727616 …",,,,,,,
"काही म्हणा पण BMC पावसाळ्यात वॉटर किंगडम आणि इमॅजिका वॉटर पार्कला मजबूत टक्कर देते
😂😂😂
@mybmc",,,,,,,
"Road banane ki kya zarurat hai ?
Hum gender equality wale traffic signal laga rahe hai na that's more important #mybmc  pic.twitter.com/PydNQ7DyfU",,,,,,,
#mybmc for you  pic.twitter.com/Tcf5ouNGhn,,,,,,,
"मांजर दूध पिते डोळे बंद ठेवते आणि तिला वाटत कोण बगत नाही ! पाणी उपसले #mybmc
@SandeepDadarMNS साहेब काय वाजवली व्हा piad news @News18lokmat",,,,,,,
"#adani ur power customer care is of no help, we HV a emergency and the executive is just not bothered... Is this how u resolve sparkin and electric fire issues #mybmc #cmomaharashtra please help.",,,,,,,
"As long as #mybmc continues to re surface the same roads time & again thru tainted contractors,situation won’t change-mayhem in Colaba & floods on Allana Rd.Bring the city in order, stop encroachments & stop messing with environ by planning to make statues & ropeway off the coast  pic.twitter.com/JTuhvOJg1V",,,,,,,
"The monsoon preparedness of Mumbai #mybmc #mumbaifloods #MotivationalQuotes #MumbaiRains #Mumbaikars there is a need to privatise good for nothing units like that of BMC... 
06-08-2020,Big salute to @mybmc workers who are sweeping the road in heavy rains. ",,,,,,,
"Yesterday, the old peepal tree fell in front of my shop, due to which the board and roof of my shop was broken, the roof and outside board of mine and my side 3 shop fell, and we were damaged.#mybmc
06-08-2020,Good job...thanks #mybmc
06-08-2020,Hanging garden - not hanging anymore- It appears to be a concoction of earthquake", cyclone & Covid with topping of corruption of course," relaying of roads umpteen times by tainted contractors #Covid_19 #Mumbai #mumbaifloods #hanginggarden #bmc #mybmc  pic.twitter.com/X0K5qGDFOE""",,,,,
"@TMCaTweetAway @TMCsmartcity @CMOMaharashtra @DigiThane the @mybmc roads from Teen Hath Naka thane west to Mulund west check Naka,Mumbai are in really bad condition, please rectify the same at the earliest. Kindly co ordinator with all relevant authoritie",,,,,,,
"If any city in India would have experienced so much rain it would have been havoc... Mumbai still doing very doing,BMC rocks #BMC #mybmc #adityathackeray",,,,,,,
"#Chowpatty where the road unites with the sea.
06-08-2020,BMC tree cutting staff has cleared the gates", brilliant service," police called to confirm. Thanks BMC for lighting response 🤝👍👍#mybmc  pic.twitter.com/WzNQuEqyfL""",,,,,
"BMC tree cutting staff has cleared the gates, brilliant service, police called to confirm. Thanks BMC for lighting response 🤝👍👍#mybmc",,,,,,,
"#Mumbaikars #StayHomeStaySafe .. 
CP Tank, Gulalwadi Circle .. ☹️😭. No lessons learned.. richest municipal corporation.. #MyBMC  pic.twitter.com/19gLNPpWQN",,,,,,,
#mybmc Kindly do the needful at the earliest.  pic.twitter.com/GFR8EIAc1f,,,,,,,
"मुंबईत 9 तासात 229 मिमी पाऊस; अनेक ठिकाणी मोठं नुकसान
 https://www.lokshahinews.com/229-mm-rain-in-9-hours-in-mumbai-big-damage-in-many-places/ …
@mybmc #mybmc #mumbairainlive #mumbairainupdate #mumbairain #MaharashtraGovt",,,,,,,
I have request to #kishoripednekar and #mybmc please help us we all are suffering from rainfall water all house was deep into the water and the contractor was escaped and he didn't pickup  are call .we are from Ganesh murti nagar gali no 7 part 3.,,,,,,,
I'm from Ganesh murti  nagar gali no 7  my house was deep in the water I'm going tell him he said I don't care  and telling me the motor machine was not yet from 7 no gali and there are escaped he was not here all people are suffering from rainfall water #mybmc #kishoripednekar,,,,,,,
Hello #kishoripednekar #myBmc #Bmc sir and ma'am we have request to you plzz do something our house will totally deep in the and contractor say I don't care about you he said I don't do anything we are from Ganesb murti nagar rainfall water was come inside are house.,,,,,,,
"#mybmc
मुंबई: नायर, केईएम, जेजे रुग्णालयात घुसले पाणी | पुढारी -  https://www.pudhari.news/news/Mumbai-Thane-Raigad/Mumbai-Rain-Water-in-Nair-KEM-and-JJ-hospitals/m/ …",,,,,,,
#MumbaiRainsLive #MumbaiRains #MyBMCMonsoonUpdates #mybmc #MyBMCUpdates pic.twitter.com/vh1kkqLPwQ,,,,,,,
"Flooding outside K C college. never ever happens, is it because of the metro work that was going? my_bmc
05-08-2020,Help us we are jam this rainfall water in Goa street Mumbai and back bay depo #mybmc #kishoripedenkar #BMC pic.twitter.com/t6IHUIHZC2
05-08-2020,Are passengers coming to mumbai everyday in trains quarantining "," no such thing in mumbai where 1000s come everyday. Prople coming by road same so under which rule 14day quarantine for #IPSVinayTiwari #ShameOnMahaGovt #mybmc show the rule please""",,,,,,
#mybmc #bmcwaterlogging #mybmcHEward #disastermanagementmumbai #cmomaharashtra #UddhavThackeray complete water logging on entire CST rd from Shaman Mercedes to Kalina university Full water Due to Chocked gutters and careless Bmc officials working in this ward action must be taken pic.twitter.com/gO3duZiLAI,,,,,,,
"नाल्याची संरक्षण भिंतचे पैसे खाणाऱ्या सर्व @mybmc अधिकारी आणि कंत्राटदार यांचा जाहीर निषेध.
@mybmcSWD च्या सर्व भ्रष्ट अधिकाऱ्यांना त्वरित निलंबित करावे. @AUThackeray @KishoriPednekar @mayor_mumbai @AmeyGhole @SardesaiVarun #MyBMCUpdates #mybmc  pic.twitter.com/ZE8K0vsQ3W",,,,,,,
"आज सांताक्रूझ आग्रीपाडा नवजीवन मध्ये असलेल्या नाल्याजवळ घर कोसळून घरातील काही माणसे बेपत्ता आहेत. नाल्याची संरक्षण भिंत कुठे आहे? @mybmcSWD
@AUThackeray कारवाईचे आदेश दयावेत
@mybmc @KishoriPednekar @iyaahhassan14 @SardesaiVarun
05-08-2020,#MumbaiRains yesterday were among the highest and the most intense we have witnessed in over a decade in August. IMD has predicted that heavy rains will continue today as well. Red alert has been issued. Mumbaikars", take care. Stay safe.,,,,,,
"मुंबईकरांनो, हवामान खात्याने आजही सतर्कतेचा इशारा दिला आहे. काल पासून सुरू असलेला पाऊस आजही मुंबईत कायम आहे.तरी सर्वांनी सतर्क राहा.आवश्यक असेल, तरच घराबाहेर पडा. काळजी घ्या आणि सुरक्षित राहा. #MumbaiRains #MyBMCMonsoonUpdates #Mybmc #MyBMCUpdates #Mumbaikar https://twitter.com/Hosalikar_KS/status/1290873621519294465 …",,,,,,,
"@mybmcWardPN
@mybmc 
कृपया वरील तक्रारींवर कारवाई करा.येथे भरपूर प्रमाणात घाण जमली आहे.व्हिडिओ मध्ये तुम्हा�",,,,,,,
"#Mumbai witnessed late night #showers. Moderate to heavy #rain to continue over #Mumbai and suburbs until today afternoon. Attached picture shows rain during last 3 hours. In Last 24 hours, #Santacruz got 84 mm and #Colaba 53 mm rain. #MumbaiRainWithSkymet #mybmc @SkymetWeather pic.twitter.com/9TFyCKGypS",,,,,,,
#mybmc  https://twitter.com/SuketuShah3/status/1290776423754395649 …,,,,,,,
"ride_bmc_vzla presenta la SLR01 TWO
Contáctanos para precios y disponibilidad.
ride_bmc_vzla 
ride_bmc_vzla 
04-08-2020,It's the same story each monsoon in Mumbai.",,,,,,,
 theres no point in criticizing anyone, this is #KalYug,,,,,,
" sooner #KalKi will arrive.""",,,,,,,
"@mybmc please look into the matter.
04-08-2020,कुर्ला आयेगे तो हकीकत सामने आयेगी कौन चाहेगा अपनी हकीकत देखना मुंबई का सबसे बे�",,,,,,,
Wakeup #mybmc roads where already flooded in the night .... advisories should have come before 7.00  https://twitter.com/mybmc/status/1290481952990965761 …,,,,,,,
#Santacruz received 220 mm #rain in Last 21 hours. Many parts of #Mumbai recorded 200 mm plus rain. Rains will be relentless until tomorrow. Some relief from August 6th. Kindly avoid going out for next 24 hours. #MumbaiRainsLive #Mybmc @SkymetWeather,,,,,,,
"Heavy #rainfall over many parts of #Mumbai and suburbs. See the snapshot of #Mumbairain app of #Skymet. This is last 6 hours #rain. #Bandra, #Dadar, #Kharwest and nearby areas have have been pouring. Take care unit tomorrow. Avoid going out. #MumbaiRain #mybmc @SkymetWeather pic.twitter.com/sEVMkY8ja9",,,,,,,
I smell new scam. #mybmc,,,,,,,
"Next BMC election #mybmc
Who should we vote ???
Answer : None of Above 
None of above NOTA
Jaihind",,,,,,,
"Dear Team @mybmc I tried lodge online Complaint on #MCGM Portal from website as well #MyBMC 24*7 App but there is something shows write as ""No Data Received From Server"" .I am so tired & curious about such a worst system of #MyBMC . Please overcome this error ASAP.
03-08-2020,Everything stops for tea! #cycling #mybmc @ Starbucks  https://www.instagram.com/p/CDZdvMNhaVa/?igshid=ypu6y721nxj0 …
02-08-2020,Checkout line at sahakari bhandar in agar bazaar. Only because these lazy bums haven't opened all counters for checkout. So"," where is social distance? #sahakaribhandaragarbazaar #mybmc""",,,,,,
"Yes the have curtailed the expansion!
But when, they will address drainage and Traffic problem of Mumbai.
Every year the situation remains the same..
@MumbaiMirror
@aajtak https://twitter.com/AnupamPKher/status/1289797905985888262 …",,,,,,,
"Everyone has stopped supporting especially 
Hats off to bihar cops for their contribution
01-08-2020,#MumbaiRains #Mybmc #HelpUs #cmomaharashtra #UddhavThackeray #AdityaThackrey
01-08-2020,Kudos and more power to women and to @AUThackeray and #Mybmc @maharashtragov #India
31-07-2020, http://www.facebook.com/story.php?story_fbid=10158653627114339&id=534854338&scmts=scwspsdd&extid=IWNyxE0TFgDRCIS5 …",,,,,,,
"#BMC to impose 20% water cut from August 1 in #Mumbai: Reports
 http://www.sakaltimes.com 
31-07-2020,#BMC to impose 20% water cut from August 1 in #Mumbai: Reports",,,,,,,
"#mybmc,@IqbalSinghChah2,@timesofindia,@CNNnews18
This is just eye wash sir if you want appointment auditor appoint many the whole city roads are in a mess n pls publish the facts in the news papers pic.twitter.com/YHSnYhW1D6",,,,,,,
"Watching this leakage from past 2 day that the water is leaking in much amount near Chandivali ICICI  business branch, Chandivali. So I have faith that our best management @mybmc will refixing the problem soon as possible as it is too wastage of water.
31-07-2020,Ridin’ on a prayer.",,,,,,,
"Siempre para adelante...
🤍❤️🖤
 http://pato.bike  @ronald_araya @Las_Helmets nrc_mexico bmc_mexico @ride_bmc
30-07-2020,@AmitShah @AmitShahOffice @HMOIndia Hon'ble Shri.Amit Shah jee Home Minister of India. Kindly request take enquiry of #mybmc & following #OfficeofUT case. Many more fraud you find. He is behave very arrogantly. pic.twitter.com/TPnFfzcPxO
30-07-2020,I am just doing my duty as an alert citizen  http://sir.so  that any mishaps are avoided.thanks for attending to my appeal sir #mybmcupdates #mybmc #bmc #jaihind https://twitter.com/mybmcWardD/status/1288850808906244101 …
29-07-2020,#mybmcWardME #mybmc #mnsadhikrut #MCGM_BMC ",,,,,,,
 त्या शौचालय मध्ये पहिली सुध्दा मोठी दुर्घटना होऊन गेली आहे ,"तरी ते शौचालय लवकरात लवकर बंद करावे pic.twitter.com/GN2RsiBzyc""",,,,,,
"महोदय, 
      अनधिकृत बांधकाम अशी तक्रार असताना गरीब फेरीवाले आले कुठून, ही काम करण्याची कोणती पद्दत आहे, की आता या संदर्भात प्रशासन विरोधात तक्रार करावी, ह्या मुस्लिम समाजाच्या बांधकामामुळे १०० ते २०० कुटुंबाला हा त्रास आहे.
29-07-2020, https://www.facebook.com/MyMumbaiMyBMC/videos/316769146356176/ …",,,,,,,
"PLAY & Let The Fun Begin 😱
Like + RT + Click ⬇️
 https://www.reddeergames.com 
Did You see it? 🙈 pic.twitter.com/45a6EF3ixr",,,,,,,
"कृपया मुंबईतील कोव्हिड-19 च्या खासगी दवाखान्यांची नावे जाहिर करा,कोव्हिड-19 वर उपचार कोणकोणत्या दवाखान्यात होतात हे मुंबईकरांना अजुनही माहिती नाही
28-07-2020,#mybmc #pnorth एक महिना उलटला आहे आणि तपासणीनंतर तक्रार पुढे सरकली नसल्याचे दिसते. आमच्या सोसायटी पदाधिका्यांनी अतिक्रमणात आपल्या अधिकाराचा गैरवापर केला आहे"," लवकरच आमची पालिका कारवाई करेल का? तक्रार क्र.07224906059 – at Orlem""",,,,,,
Napean sea road outside prem Milan building opp Shahnaz building #jaihind #mybmc #BMC #mumbaikars https://twitter.com/mybmc/status/1287996043817189377 …,,,,,,,
"Pls look in2
@nikkhhiljethwa @Rakesh0879 @jituk9 @Rohitk0301 @SaferRoadsSquad @mybmchelp @RoadsOfBombay @keep_foundation @Ksih_foundation @SocialW59502748 @Kalpeshvporwal1 @lionbhai @arsun_raj @BankiMistry @DhiwarPriya @Prakashmisshra @AshwaniNegi @AlertCitizen5 #SafeRoad #mybmc",,,,,,,
Efforts made to build capacity to ensure that we are prepared as a city - grateful #mybmc @DrMuffi - awesome work! #mumbai https://twitter.com/DrMuffi/status/1287728272894173184 …,,,,,,,
#cmomaharashtra #mybmc #UddhavThackeray happy Birthday shaeb pic.twitter.com/rcwStH0oLq,,,,,,,
"#cmomaharashtra #UddhavThackeray #adityathackeray #mybmc 
BMC looks like we have forgotten there is not only corona which can make people sick or die 😔😶
This undone building at Lamington Road, Ramkrisnhna CHS to be precise at chunam lane has converted into this huge water body  pic.twitter.com/9eAUXAmDBo",,,,,,,
"@mybmcWardRC where should we walk this is since last one month.
Many times complain done but no action yet . Please do the needful. Ramdas sutrale marg, next to BATA showroom opposite BMC office, Borivali west. R Central ward. #mybmcupdates #mybmc  pic.tw",,,,,,,
Well done @DrMuffi untiring efforts to help Mumbaikars. Proud of you #mybmc #mumbai https://twitter.com/DrMuffi/status/1287254599603073027 …,,,,,,,
@nikkhhiljethwa @Rakesh0879 @jituk9 @Rohitk0301 @SaferRoadsSquad @mybmchelp @RoadsOfBombay @keep_foundation @Ksih_foundation @SocialW59502748 @Kalpeshvporwal1 @lionbhai @arsun_raj @BankiMistry @DhiwarPriya @Prakashmisshra @AshwaniNegi @AlertCitizen5 #NoPa,,,,,,,
"@mybmcWardPN
खालील पत्त्यावर अनधिकृत पार्किंगमुळे अपघाताचे प्रमाण वाढत असून
 नो पार्किंग फलक बसवावा ही ",,,,,,,
"A little bit of Sun ain’t stopping us! 
22-07-2020,Mumbai with barely any pollution and a stunning skyline! Don’t we all wish the infrastructure could be better so that we could have a world class city? #mybmc  pic.twitter.com/H61lgyBIFT
21-07-2020,#Mumbai records 1",043 new #COVID19 cases; total tally rises to 1,2,267,,,,
"#Mumbai records 1,043 new #COVID19 cases; total tally rises to 1,02,267.
 http://www.esakal.com 
20-07-2020,२०#जुलै",,,,,,,
"@MumbaiPolice @mybmc  this man has been waiting for a bus at sheetal bagh since half an hour ... Kindly do something about it 
20-07-2020,Bhai pani to dhow 24 hrs.10 min attached hai hard doors din. #Mumbai mere Jaan. #mybmc @mybmc #covidindiaseva #COVID1",,,,,,,
 मनसे ,,,,,,,
 महाराष्ट्र नवनिर्माण कामगार सेना,,,,,,,
"Thank you so much for all your hard work and support during this difficult time. I would like to commend the Mumbai Municipal Corporation for such a smooth system for covid-19.
18-07-2020,Coronavirus: Six types of COVID-19 identified by scientists in 'major' breakthrough for treatment. click lnk  https://news.sky.com/story/amp/coronavirus-six-types-of-covid-19-identified-by-scientists-in-major-breakthrough-for-treatment-12030652 …",,,,,,,
"Are barbershop allowed to open on Sunday? In non market, non contaminated zone and non market area. #MumbaiPolice #mybmc #wardkwbmc #CMOMaharashtra #adityathackeray #uddhavThackeray #ShivSena pic.twitter.com/y63cNbBRVC",,,,,,,
@mybmc @mybmcWardD is responsible for the spread of malaria & dengue in this area. I had requested to remove this container in April but on deaf ears it  http://seems.Is  there any authority who can make #mybmc accountable for this irresponsible behaviou,,,,,,,
water available for 20 mins a day and you expect us to WASH hands for 20 seconds. #CMOMaharashtra #MyBMCUpdates #mybmc @mybmc #MaharashtraFightsCorona #Mumbai #MumbaiMonsoon #MumbaiRains #Mumbaikars @PTI_News #Covid_19 #mumbailockdown #mumbaifightscovid19,,,,,,,
"@mybmcWardPN
@mybmc
@mybmcSWD 
पालिकेने कृपया लवकरात लवकर तक्रारीवर कारवाई करा. ड्रेनेजची टाकी ही भरून वाहत आहे. टा�",,,,,,,
"#MumbaiMonsoon #mybmc neither Corona is control nor waterlogging... every year same problem of waterlogging, potholes, traffic jams, blockades...where does all money goes year after year",,,,,,,
I think #mybmc should now work seriously towards this n if they're unable to solve then should hire Pvt company to do the needful. This daily scenario is very annoying 😡🤬,,,,,,,
"#Natural & #Free #waterfall for kids this #monsoon2020 @ Mrinal Tai Gore Flyover, Ram-Mandir, Mumbai Indian 😂 
Risking lives ? 🤦🏼‍♂️
& troubles to motorists...?🤷🏼‍♂️
16-07-2020,#HeroesOfMumbai",,,,,,,
 @StreetArtIndia व @asianpaints यांचे मनःपूर्वक आभार.,,,,,,,
"आमचे लक्ष आहे!
@westernrly @StartIndia व @asianpaints यांनी चित्रकलेच्या माध्यमातून कोरोनायोद्धांना सलाम केला आहे.
16-07-2020,कोरोनायोद्ध्यांप्रति कृतज्ञता व्यक्त करणाऱ्या या चित्रकलेसाठी @westernrly @StreetArtIndia व @asianpaints चे आभार.",,,,,,,
"It's been a year waiting for this foot path to be completed. Despite many complaints. Now in monsoon it it has become breeding ground for deadly insects. We need concrete paver blocks here, like everywhere else.  #BMCMumbai #MyBMC  pic.twitter.com/0wVj6GCmSV",,,,,,,
Please see the metal shade construction happening near  #Aareydairy Unit 8. The work happens in night.. hope all legal here? #AadityaThackeray #mybmc #TimesofIndia #saveaareyforest pic.twitter.com/BmHFkHNbOu,,,,,,,
@CMOMaharashtra @Dev_Fadnavis @NaikSpeaks @iPravinDarekar @bbcnewsmarathi @TV9Marathi करोना झालेल्या critical रुग्णांना लागणारे 2 इंजेकशन सरकारी रुग्णालय�,,,,,,,
Thanks. Low tide kicked in helped.  @mybmc #MyBMCUpdates #mybmc #MumbaiPolice #MumbaiRainsLive,,,,,,,
"Until 05:30 hours today, #Surat received 91 mm, #Santacruz 92 mm and #Nagpur 101 mm #rain. Monsoon is active over #Gujarat, #Vidarbha & #Mumbai. Get ready for more rain over Mumbai and suburbs today as well. #MumbaiRainsLive #mybmcupdates #mybmc @SkymetMarathi @SkymetWeather",,,,,,,
#Sachin_pilot #whatsappdown #พรกฉุกเฉิน #غسيل_المشاهير #btsトレカ交換 #私をフォローして一番衝撃だったこと #عزيمه_البيضات #btsトレカ交換 #私をフォローして一番衝撃だったこと #私をフォローして一番衝撃だったこと #森本慎太郎誕生祭 #cemalcancanseven #緑谷出久誕生祭2020 #mybmc #zhol,,,,,,,
"After my response with SAC id for my address of the site, it been weeks with no response from @mybmcWardGN
14-07-2020,I understand #mybmc #mcgm #MumbaiPolice can not appoint a staff each part of their area boundaries but you can appoint retired persons who r ready to join to pass on area situations yo help police and mcgm https://twitter.com/r2562580/status/1282747642435362817 …
13-07-2020,#mybmc  https://twitter.com/ranepranil/status/1282672218904776715 …
13-07-2020,Double parking has just created a nuisance in Perin nariman street ","fort ...just small road allowed to pass other vehicles which create traffic and road jams!!!Please take necessary action# #MumbaiPolice #MumbaiTraffic #mybmc  pic.twitter.com/ZFTG5J1Xof""",,,,,,
#mondaythoughts #MondayMorning #MondayMotivation #MondayMood #Mumbai #Numerology #UddhavThackeray #AadityaThackeray #thackeray #Bmc #Mybmc #MaharashtraGovernment #CMO #ASTRO #astrology https://twitter.com/mancchandaniraj/status/1169235716401958913 …,,,,,,,
"We have a bird's eye view of you!
@westernrly @StartIndia and @asianpaints painted Mahim Jn with a series of murals, paying tribute to all the frontliners.
 #AtMumbaisService pic.twitter.com/yiiLznokko",,,,,,,
"I wish the News people and @mybmcWardL @mybmc had done this every single person suffering.
Shayad desh mai cases kaam hote.
Par hume celebrities, politics and trp se fursat mile toh aam logo ke bare mai sochenge right?
12-07-2020,मार्गदर्शकतत्त्वे काय आहेत? कृपया लोकांच्या हितासाठी तपशील सांगा. (मराठी", इंग्रजी, हिंदी मध्ये विनंती केलेले) 😷,,,,,
I got diarrhoea after coming here and eating the food served here. They give Kanda bhajji for evening snacks. Is this a party going on here? Who serves spicy and oily food to patients. #cmomaharashtra #mybmc,,,,,,,
On top of that housekeeping lady yelled at me on phone when i requested her to send my food parcel from down to my room. I want to know when i will get a discharge from here? I would recover better at my home rather than this unkind and filthy speaking staff here!#BMC #mybmc,,,,,,,
"What about @PanvelCorp, Navi Mumbai? They fall in Maharashtra too.
Please help!
The cases are lower compared to @mybmc doesn't mean the situation is ok.
Please take some responsibility for other areas too & not just 'Mumbai'",,,,,,,
"A mask in time saves life!
Thank you @westernrly @StreetArtIndia and @asianpaints for collaborating on this beautiful mural saluting Mumbai's frontliners.
12-07-2020,#Online  क्रां.मा. जोतिबा फुले सर्वसाधारण रुग्णालय बचाव आंदोलन....",,,,,,,
"#Online  क्रां.मा. जोतिबा फुले सर्वसाधारण रुग्णालय बचाव आंदोलन..
मी सोबत आहे .
12-07-2020,And tragedy is that she is a ‘Health & Science’ journalist 😂🤣 #AmitabhBachchan #mybmc  https://twitter.com/VidyaKrishnan/status/1282169321876156416 …
12-07-2020,#Online  क्रां.मा. जोतिबा फुले सर्वसाधारण रुग्णालय बचाव आंदोलन..",,,,,,,
"Big appreciation shout to #mybmc for calling daily to check on the patient's health🙏 God Bless n best wishes to @mybmc along with Doctors, nurses n all those para medicals staffs, who work tirelessly round the clock for all of us in need 🙏 https://twitter.com/juniorbachchan/status/1282018800171278336 …",,,,,,,
"#Maharashtra reports more than 8,000 #COVID19 cases in 24 hours for first time. 
 http://www.sakaltimes.com 
12-07-2020,#Maharashtra reports more than 8",000 #COVID19 cases in 24 hours for first time. ,,,,,,
